label,phase,run,status,elapsed_us,max_rss_kib,stdout_bytes,stderr_lines
format-subject,first,0,0,31901,15244,0,0
format-subject,repeated,1,0,3609,13544,0,0
format-subject,repeated,2,0,3734,15576,0,0
format-subject,repeated,3,0,3443,15488,0,0
format-subject,repeated,4,0,3329,13196,0,0
format-subject,repeated,5,0,3298,13544,0,0
format-subject,repeated,6,0,3846,15520,0,0
format-subject,repeated,7,0,3433,13480,0,0
format-subject,repeated,8,0,3509,15364,0,0
format-subject,repeated,9,0,3429,13232,0,0
format-subject,repeated,10,0,3237,13232,0,0
format-subject,repeated,11,0,3368,13264,0,0
format-subject,repeated,12,0,3264,13496,0,0
format-subject,repeated,13,0,3542,13528,0,0
format-subject,repeated,14,0,3276,13484,0,0
format-subject,repeated,15,0,3328,13524,0,0
format-subject,repeated,16,0,6521,13248,0,0
format-subject,repeated,17,0,3547,15400,0,0
format-subject,repeated,18,0,3704,15372,0,0
format-subject,repeated,19,0,3985,13532,0,0
format-subject,repeated,20,0,3243,13208,0,0
format-one-record,first,0,0,4071,13600,0,0
format-one-record,repeated,1,0,3723,13480,0,0
format-one-record,repeated,2,0,3698,13380,0,0
format-one-record,repeated,3,0,5272,13656,0,0
format-one-record,repeated,4,0,3989,15684,0,0
format-one-record,repeated,5,0,3985,13436,0,0
format-one-record,repeated,6,0,4037,13460,0,0
format-one-record,repeated,7,0,3888,13396,0,0
format-one-record,repeated,8,0,3806,13508,0,0
format-one-record,repeated,9,0,3814,13644,0,0
format-one-record,repeated,10,0,5950,13612,0,0
format-one-record,repeated,11,0,4090,13652,0,0
format-one-record,repeated,12,0,4043,15664,0,0
format-one-record,repeated,13,0,4325,13500,0,0
format-one-record,repeated,14,0,4089,13380,0,0
format-one-record,repeated,15,0,4175,13448,0,0
format-one-record,repeated,16,0,4157,13396,0,0
format-one-record,repeated,17,0,4104,13604,0,0
format-one-record,repeated,18,0,4231,13624,0,0
format-one-record,repeated,19,0,4175,13400,0,0
format-one-record,repeated,20,0,4167,13432,0,0
validate-subject,first,0,0,4590,12512,100,0
validate-subject,repeated,1,0,3547,12676,100,0
validate-subject,repeated,2,0,3334,12392,100,0
validate-subject,repeated,3,0,4236,12524,100,0
validate-subject,repeated,4,0,3766,14484,100,0
validate-subject,repeated,5,0,4944,14588,100,0
validate-subject,repeated,6,0,3173,12484,100,0
validate-subject,repeated,7,0,3001,12692,100,0
validate-subject,repeated,8,0,3416,14568,100,0
validate-subject,repeated,9,0,3329,12400,100,0
validate-subject,repeated,10,0,4139,12424,100,0
validate-subject,repeated,11,0,3189,12692,100,0
validate-subject,repeated,12,0,3238,12516,100,0
validate-subject,repeated,13,0,3322,14564,100,0
validate-subject,repeated,14,0,3237,12572,100,0
validate-subject,repeated,15,0,3218,14628,100,0
validate-subject,repeated,16,0,3108,12500,100,0
validate-subject,repeated,17,0,3109,12484,100,0
validate-subject,repeated,18,0,3047,12524,100,0
validate-subject,repeated,19,0,3176,14640,100,0
validate-subject,repeated,20,0,3123,12512,100,0
validate-one-record,first,0,0,3513,12640,101,0
validate-one-record,repeated,1,0,3543,14856,101,0
validate-one-record,repeated,2,0,3539,12696,101,0
validate-one-record,repeated,3,0,3405,12700,101,0
validate-one-record,repeated,4,0,3692,14912,101,0
validate-one-record,repeated,5,0,3653,14744,101,0
validate-one-record,repeated,6,0,3380,12764,101,0
validate-one-record,repeated,7,0,3718,12540,101,0
validate-one-record,repeated,8,0,3610,12552,101,0
validate-one-record,repeated,9,0,3552,12672,101,0
validate-one-record,repeated,10,0,3418,12872,101,0
validate-one-record,repeated,11,0,4024,14664,101,0
validate-one-record,repeated,12,0,3577,12588,101,0
validate-one-record,repeated,13,0,3450,14792,101,0
validate-one-record,repeated,14,0,3392,12572,101,0
validate-one-record,repeated,15,0,3596,14620,101,0
validate-one-record,repeated,16,0,3417,12780,101,0
validate-one-record,repeated,17,0,3415,12780,101,0
