label,phase,runs,min_elapsed_us,mean_elapsed_us,max_elapsed_us,mean_rss_kib,max_rss_kib
format-one-record,first,1,4071,4071,4071,13600,13600
format-one-record,repeated,20,3698,4185,5950,13717,15684
format-subject,first,1,31901,31901,31901,15244,15244
format-subject,repeated,20,3237,3632,6521,14011,15576
trace-branch-one-record,first,1,3766,3766,3766,12552,12552
trace-branch-one-record,repeated,20,3633,3888,4333,13517,14888
trace-branch-subject,first,1,3190,3190,3190,12552,12552
trace-branch-subject,repeated,20,3162,3431,4068,13201,14724
trace-deep-one-record,first,1,3642,3642,3642,14712,14712
trace-deep-one-record,repeated,20,3494,3705,4081,13180,14820
trace-deep-subject,first,1,31128,31128,31128,14292,14292
trace-deep-subject,repeated,20,3187,3376,3790,12842,14572
validate-diagnostics,first,1,18288,18288,18288,19468,19468
validate-diagnostics,repeated,5,17041,17327,17462,19918,21596
validate-one-record,first,1,3513,3513,3513,12640,12640
validate-one-record,repeated,20,3329,3532,4024,13306,14912
validate-subject,first,1,4590,4590,4590,12512,12512
validate-subject,repeated,20,3001,3432,4944,13143,14640
