selection	verdict	status	source_path	line	column	diagnostic_code	stdout	first_diagnostic
fixtures/0.1/valid/	accepted	0	-	-	-	-	Validated 3 requirements and 3 decomposition relationships from 1 file as mundanereq-source-0.2.	-
fixtures/0.1/invalid/dangling-reference.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.1/invalid/dangling-reference.mreq	5	13	dangling-reference	""	/home/jack/projects/mundane-req/conformance/0.1/invalid/dangling-reference.mreq:5:13: dangling-reference: decomposes target 'MISSING' does not exist in the selected source set
fixtures/0.1/invalid/duplicate-id/	rejected	1	/home/jack/projects/mundane-req/conformance/0.1/invalid/duplicate-id/two.mreq	1	13	duplicate-id	""	/home/jack/projects/mundane-req/conformance/0.1/invalid/duplicate-id/two.mreq:1:13: duplicate-id: requirement 'DUPLICATE' was already defined at /home/jack/projects/mundane-req/conformance/0.1/invalid/duplicate-id/one.mreq:1
fixtures/0.1/invalid/duplicate-relationship.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.1/invalid/duplicate-relationship.mreq	6	1	duplicate-relationship	""	/home/jack/projects/mundane-req/conformance/0.1/invalid/duplicate-relationship.mreq:6:1: duplicate-relationship: decomposes target 'PARENT' is repeated
fixtures/0.1/invalid/missing-statement.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.1/invalid/missing-statement.mreq	3	1	missing-field	""	/home/jack/projects/mundane-req/conformance/0.1/invalid/missing-statement.mreq:3:1: missing-field: required field 'statement' is missing
fixtures/0.1/invalid/unknown-field.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.1/invalid/unknown-field.mreq	5	1	unknown-field	""	/home/jack/projects/mundane-req/conformance/0.1/invalid/unknown-field.mreq:5:1: unknown-field: unknown field 'priority'
fixtures/0.1/invalid/unterminated-math.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.1/invalid/unterminated-math.mreq	6	3	unterminated-math	""	/home/jack/projects/mundane-req/conformance/0.1/invalid/unterminated-math.mreq:6:3: unterminated-math: math latex block is missing 'end math'
fixtures/0.2/valid/	accepted	0	-	-	-	-	Validated 3 requirements and 3 decomposition relationships from 1 file as mundanereq-source-0.2.	-
fixtures/0.2/invalid/comment-before-body.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.2/invalid/comment-before-body.mreq	3	1	empty-body	""	/home/jack/projects/mundane-req/conformance/0.2/invalid/comment-before-body.mreq:3:1: empty-body: statement must contain at least one nonblank line
fixtures/0.2/invalid/comment-only.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.2/invalid/comment-only.mreq	1	1	empty-source-file	""	/home/jack/projects/mundane-req/conformance/0.2/invalid/comment-only.mreq:1:1: empty-source-file: a source file must contain at least one requirement record
fixtures/0.2/invalid/comment-splits-math.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.2/invalid/comment-splits-math.mreq	4	3	unterminated-math	""	/home/jack/projects/mundane-req/conformance/0.2/invalid/comment-splits-math.mreq:4:3: unterminated-math: math latex block is missing 'end math'
fixtures/0.2/invalid/comment-splits-prose.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.2/invalid/comment-splits-prose.mreq	6	1	malformed-record	""	/home/jack/projects/mundane-req/conformance/0.2/invalid/comment-splits-prose.mreq:6:1: malformed-record: expected a field or 'end requirement'
fixtures/0.2/invalid/leading-non-ascii-whitespace.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.2/invalid/leading-non-ascii-whitespace.mreq	2	8	empty-or-padded-scalar	""	/home/jack/projects/mundane-req/conformance/0.2/invalid/leading-non-ascii-whitespace.mreq:2:8: empty-or-padded-scalar: title must contain a nonempty value without leading or trailing whitespace
fixtures/0.2/invalid/prohibited-c1-control.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.2/invalid/prohibited-c1-control.mreq	2	10	control-character	""	/home/jack/projects/mundane-req/conformance/0.2/invalid/prohibited-c1-control.mreq:2:10: control-character: control characters are not allowed
fixtures/0.2/invalid/supplementary-scalar-column.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.2/invalid/supplementary-scalar-column.mreq	2	10	control-character	""	/home/jack/projects/mundane-req/conformance/0.2/invalid/supplementary-scalar-column.mreq:2:10: control-character: control characters are not allowed
fixtures/0.2/invalid/trailing-non-ascii-whitespace.mreq	rejected	1	/home/jack/projects/mundane-req/conformance/0.2/invalid/trailing-non-ascii-whitespace.mreq	2	36	empty-or-padded-scalar	""	/home/jack/projects/mundane-req/conformance/0.2/invalid/trailing-non-ascii-whitespace.mreq:2:36: empty-or-padded-scalar: title must contain a nonempty value without leading or trailing whitespace
