plan_id	activity_id	requirement_id
PLAN-A	ACT-NEED-REVIEW	NEED-001
PLAN-A	ACT-NEED-REVIEW	NEED-002
PLAN-A	ACT-NEED-REVIEW	NEED-003
PLAN-A	ACT-NEED-REVIEW	NEED-004
PLAN-A	ACT-NEED-REVIEW	NEED-005
PLAN-A	ACT-NEED-REVIEW	NEED-006
PLAN-A	ACT-NEED-REVIEW	NEED-007
PLAN-A	ACT-NEED-REVIEW	NEED-008
PLAN-A	ACT-NEED-REVIEW	NEED-009
PLAN-A	ACT-NEED-REVIEW	NEED-010
PLAN-A	ACT-M2M-COMPAT	SYS-001
PLAN-A	ACT-TIME	SYS-002
PLAN-A	ACT-LOCAL-STATE	SYS-003
PLAN-A	ACT-ALARM-LATENCY	SYS-004
PLAN-A	ACT-ALARM-LATENCY	SYS-005
PLAN-A	ACT-POWER-ENDURANCE	SYS-006
PLAN-A	ACT-NETWORK-RECOVERY	SYS-007
PLAN-A	ACT-DATA-STANDARD	SYS-008
PLAN-A	ACT-RETENTION	SYS-009
PLAN-A	ACT-ACCESS	SYS-010
PLAN-A	ACT-EXPORT	SYS-011
PLAN-A	ACT-NETWORK-RECOVERY	SYS-012
PLAN-A	ACT-CONFIG-AUDIT	SYS-013
PLAN-A	ACT-DISPOSITION	SYS-014
PLAN-A	ACT-DIAGNOSTIC	SYS-015
PLAN-A	ACT-INTEGRITY	SYS-016
PLAN-A	ACT-M2M-COMPAT	DEV-001
PLAN-A	ACT-M2M-COMPAT	DEV-002
PLAN-A	ACT-TIME	DEV-003
PLAN-A	ACT-TIME	DEV-004
PLAN-A	ACT-TIME	DEV-005
PLAN-A	ACT-LOCAL-STATE	DEV-006
PLAN-A	ACT-ALARM-LATENCY	DEV-007
PLAN-A	ACT-LOCAL-STATE	DEV-008
PLAN-A	ACT-LOCAL-STATE	DEV-009
PLAN-A	ACT-NETWORK-RECOVERY	DEV-010
PLAN-A	ACT-NETWORK-RECOVERY	DEV-011
PLAN-A	ACT-POWER-ENDURANCE	DEV-012
PLAN-A	ACT-ALARM-LATENCY	DEV-013
PLAN-A	ACT-POWER-ENDURANCE	DEV-014
PLAN-A	ACT-DIAGNOSTIC	DEV-015
PLAN-A	ACT-DIAGNOSTIC	DEV-016
PLAN-A	ACT-ENCLOSURE	DEV-017
PLAN-A	ACT-DATA-STANDARD	DEV-018
PLAN-A	ACT-INTEGRITY	DEV-019
PLAN-A	ACT-NETWORK-RECOVERY	RDS-001
PLAN-A	ACT-RETENTION	RDS-002
PLAN-A	ACT-ACCESS	RDS-003
PLAN-A	ACT-CONFIG-AUDIT	RDS-004
PLAN-A	ACT-INTEGRITY	RDS-005
PLAN-A	ACT-EXPORT	RDS-006
PLAN-A	ACT-INTEGRITY	RDS-007
PLAN-A	ACT-NETWORK-RECOVERY	RDS-008
PLAN-A	ACT-LOCAL-STATE	UI-001
PLAN-A	ACT-DISPOSITION	UI-002
PLAN-A	ACT-ALARM-LATENCY	NTF-001
PLAN-A	ACT-ALARM-LATENCY	NTF-002
